"geo","time","child_mortality_0_5_year_olds_more_years_version_7"
"tza",1823,414.9
"tza",1824,414.9
"tza",1825,414.9
"tza",1826,414.9
"tza",1827,414.9
"tza",1828,414.9
"tza",1829,414.9
"tza",1830,414.9
"tza",1831,414.9
"tza",1832,414.9
"tza",1833,414.9
"tza",1834,414.9
"tza",1835,414.9
"tza",1836,414.9
"tza",1837,414.9
"tza",1838,414.9
"tza",1839,414.9
"tza",1840,414.9
"tza",1841,414.9
"tza",1842,414.9
"tza",1843,414.9
"tza",1844,414.9
"tza",1845,414.9
"tza",1846,414.9
"tza",1847,414.9
"tza",1848,414.9
"tza",1849,414.9
"tza",1850,414.9
"tza",1851,414.9
"tza",1852,414.9
"tza",1853,414.9
"tza",1854,414.9
"tza",1855,414.9
"tza",1856,414.9
"tza",1857,414.9
"tza",1858,414.9
"tza",1859,414.9
"tza",1860,414.9
"tza",1861,414.9
"tza",1862,414.9
"tza",1863,414.9
"tza",1864,414.9
"tza",1865,414.9
"tza",1866,414.9
"tza",1867,414.9
"tza",1868,414.9
"tza",1869,414.9
"tza",1870,414.9
"tza",1871,414.9
"tza",1872,414.9
"tza",1873,414.9
"tza",1874,414.9
"tza",1875,414.9
"tza",1876,414.9
"tza",1877,414.9
"tza",1878,414.9
"tza",1879,414.9
"tza",1880,414.9
"tza",1881,414.9
"tza",1882,414.9
"tza",1883,414.9
"tza",1884,414.9
"tza",1885,414.9
"tza",1886,414.9
"tza",1887,414.9
"tza",1888,414.9
"tza",1889,414.9
"tza",1890,414.9
"tza",1891,414.9
"tza",1892,414.9
"tza",1893,414.9
"tza",1894,414.9
"tza",1895,414.8
"tza",1896,414.8
"tza",1897,414.7
"tza",1898,414.5
"tza",1899,414.3
"tza",1900,414
"tza",1901,413.6
"tza",1902,413.2
"tza",1903,412.7
"tza",1904,412.2
"tza",1905,411.6
"tza",1906,410.9
"tza",1907,410.1
"tza",1908,409.3
"tza",1909,408.4
"tza",1910,407.5
"tza",1911,406.6
"tza",1912,405.6
"tza",1913,404.7
"tza",1914,403.7
"tza",1915,402.7
"tza",1916,401.7
"tza",1917,400.8
"tza",1918,399.8
"tza",1919,398.8
"tza",1920,397.9
"tza",1921,396.9
"tza",1922,395.9
"tza",1923,394.9
"tza",1924,393.9
"tza",1925,393
"tza",1926,392
"tza",1927,391
"tza",1928,390.1
"tza",1929,389.1
"tza",1930,388.1
"tza",1931,387.1
"tza",1932,386.2
"tza",1933,385.2
"tza",1934,384.2
"tza",1935,383.2
"tza",1936,382.3
"tza",1937,381.3
"tza",1938,380.3
"tza",1939,379.4
"tza",1940,378.4
"tza",1941,377.4
"tza",1951,262.5
"tza",1952,260.4
"tza",1953,258.1
"tza",1954,256.1
"tza",1955,254.1
"tza",1956,251.8
"tza",1957,249.8
"tza",1958,247.8
"tza",1959,245.7
"tza",1960,243.8
"tza",1961,241.5
"tza",1962,239.3
"tza",1963,236.8
"tza",1964,234.1
"tza",1965,231.4
"tza",1966,228.2
"tza",1967,224.9
"tza",1968,221.4
"tza",1969,217.7
"tza",1970,214.2
"tza",1971,210.7
"tza",1972,207.1
"tza",1973,203.2
"tza",1974,199.3
"tza",1975,195.1
"tza",1976,190.8
"tza",1977,186.4
"tza",1978,182.4
"tza",1979,179.4
"tza",1980,177.6
"tza",1981,176.8
"tza",1982,176.8
"tza",1983,177.3
"tza",1984,177.3
"tza",1985,176.7
"tza",1986,175.5
"tza",1987,173.4
"tza",1988,171.1
"tza",1989,168.9
"tza",1990,167
"tza",1991,165.5
"tza",1992,164.3
"tza",1993,163.2
"tza",1994,161.7
"tza",1995,159.5
"tza",1996,156.3
"tza",1997,152.1
"tza",1998,146.5
"tza",1999,139.6
"tza",2000,131.5
"tza",2001,122.7
"tza",2002,113.8
"tza",2003,105.4
"tza",2004,97.5
"tza",2005,90.1
"tza",2006,83.4
"tza",2007,77.1
"tza",2008,71.2
"tza",2009,66.2
"tza",2010,61.4
"tza",2011,57.2
"tza",2012,53.9
"tza",2013,51.8
"uga",1800,510.9
"uga",1801,510.9
"uga",1802,510.9
"uga",1803,510.9
"uga",1804,510.9
"uga",1805,510.9
"uga",1806,510.9
"uga",1807,510.9
"uga",1808,510.9
"uga",1809,510.9
"uga",1810,510.9
"uga",1811,510.9
"uga",1812,510.9
"uga",1813,510.9
"uga",1814,510.9
"uga",1815,510.9
"uga",1816,510.9
"uga",1817,510.9
"uga",1818,510.9
"uga",1819,510.9
"uga",1820,510.9
"uga",1821,510.9
"uga",1822,510.9
"uga",1823,510.9
"uga",1824,510.9
"uga",1825,510.9
"uga",1826,510.9
"uga",1827,510.9
"uga",1828,510.9
"uga",1829,510.9
"uga",1830,510.9
"uga",1831,510.9
"uga",1832,510.9
"uga",1833,510.9
"uga",1834,510.9
"uga",1835,510.9
"uga",1836,510.9
"uga",1837,510.9
"uga",1838,510.9
"uga",1839,510.9
"uga",1840,510.9
"uga",1841,510.9
"uga",1842,510.9
"uga",1843,510.9
"uga",1844,510.9
"uga",1845,510.9
"uga",1846,510.9
"uga",1847,510.9
"uga",1848,510.9
"uga",1849,510.9
"uga",1850,510.9
"uga",1851,510.9
"uga",1852,510.9
